"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_numeric_translator_integer","tests","2026-05-31","passed","2026-05-31","","test_engine","",""
"/home/runner/work/gx-interface-validator/gx-interface-validator/features/interface_validation.feature: Una interfaz con errores es rechazada y reporta sus fallas","361","Validación de SAMPLE01_F20250402.FC","features.steps","2026-05-31","passed","2026-05-31","","test_interface_steps","",""
"","359","test_aggregate_statistics_are_consistent","tests","2026-05-31","passed","2026-05-31","","test_consolidator","",""
"","0","test_numeric_translator_decimals_and_sign","tests","2026-05-31","passed","2026-05-31","","test_engine","",""
"","366","test_model_for_valid_interface_is_approved","tests","2026-05-31","passed","2026-05-31","","test_html_report","",""
"/home/runner/work/gx-interface-validator/gx-interface-validator/features/interface_validation.feature: La sección <seccion> de una segunda interfaz (saldos) cumple su contrato","266","Validación de SAMPLE02_F20250404.FC","features.steps","2026-05-31","passed","2026-05-31","","test_interface_steps","",""
"","1","test_no_duplicate_rows_detects_duplicates","tests","2026-05-31","passed","2026-05-31","","test_engine","",""
"/home/runner/work/gx-interface-validator/gx-interface-validator/features/interface_validation.feature: La sección <seccion> de una interfaz válida cumple su contrato","366","Validación de SAMPLE01_F20250404.FC","features.steps","2026-05-31","passed","2026-05-31","","test_interface_steps","",""
"","7","test_markers_route_correctly","tests","2026-05-31","passed","2026-05-31","","test_parser","",""
"","262","test_sample02_parses_and_passes","tests","2026-05-31","passed","2026-05-31","","test_sample02","",""
"","395","test_single_document_has_all_sections","tests","2026-05-31","passed","2026-05-31","","test_consolidator","",""
"","486","test_model_for_broken_interface_classifies_errors","tests","2026-05-31","passed","2026-05-31","","test_html_report","",""
"/home/runner/work/gx-interface-validator/gx-interface-validator/features/interface_validation.feature: Los totales del footer de una interfaz válida cuadran con el detalle del body","352","Validación de SAMPLE01_F20250404.FC","features.steps","2026-05-31","passed","2026-05-31","","test_interface_steps","",""
"","1","test_no_duplicate_rows_passes_when_unique","tests","2026-05-31","passed","2026-05-31","","test_engine","",""
"","7","test_columns_match_layout","tests","2026-05-31","passed","2026-05-31","","test_parser","",""
"/home/runner/work/gx-interface-validator/gx-interface-validator/features/interface_validation.feature: La sección <seccion> de una interfaz válida cumple su contrato","359","Validación de SAMPLE01_F20250404.FC","features.steps","2026-05-31","passed","2026-05-31","","test_interface_steps","",""
"","361","test_valid_interface_passes","tests","2026-05-31","passed","2026-05-31","","test_consolidator","",""
"","7","test_classifies_three_sections","tests","2026-05-31","passed","2026-05-31","","test_parser","",""
"","7","test_preserves_leading_zeros_and_spaces","tests","2026-05-31","passed","2026-05-31","","test_parser","",""
"","362","test_broken_interface_fails_with_expected_sections","tests","2026-05-31","passed","2026-05-31","","test_consolidator","",""
"","359","test_metadata_present","tests","2026-05-31","passed","2026-05-31","","test_consolidator","",""
"","368","test_render_html_contains_key_sections","tests","2026-05-31","passed","2026-05-31","","test_html_report","",""
"/home/runner/work/gx-interface-validator/gx-interface-validator/features/interface_validation.feature: La sección <seccion> de una segunda interfaz (saldos) cumple su contrato","274","Validación de SAMPLE02_F20250404.FC","features.steps","2026-05-31","passed","2026-05-31","","test_interface_steps","",""
"","7","test_header_and_footer_are_single_row","tests","2026-05-31","passed","2026-05-31","","test_parser","",""
"/home/runner/work/gx-interface-validator/gx-interface-validator/features/interface_validation.feature: La sección <seccion> de una interfaz válida cumple su contrato","366","Validación de SAMPLE01_F20250404.FC","features.steps","2026-05-31","passed","2026-05-31","","test_interface_steps","",""
"/home/runner/work/gx-interface-validator/gx-interface-validator/features/interface_validation.feature: La sección <seccion> de una segunda interfaz (saldos) cumple su contrato","271","Validación de SAMPLE02_F20250404.FC","features.steps","2026-05-31","passed","2026-05-31","","test_interface_steps","",""
"","6323","test_pdf_is_generated","tests","2026-05-31","passed","2026-05-31","","test_pdf","",""
"","268","test_sample02_business_rules_run","tests","2026-05-31","passed","2026-05-31","","test_sample02","",""
